Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783836117,139919962,32,0,0,0,0,0.25
1783836118,139923509,36,0,0,0,0,0.75
1783836119,139922668,33,2,2,0,0,0
1783836120,139923919,35,0,1,0,0,1.73
1783836121,139922116,27,0,0,0,0,0.5
1783836122,139932108,26,0,0,0,0,0.5
1783836123,139921602,28,0,0,0,0,0.75
1783836124,139921743,28,0,0,0,0,0.75
1783836125,139919811,34,2,3,0,0,0.25
1783836126,139921527,61,0,0,0,0,0.75
1783836127,139923391,50,0,0,0,0,0.5
1783836128,139921645,44,0,0,0,0,0.75
1783836129,139922380,23,0,0,0,0,1
1783836130,139921783,31,0,0,0,0,0.75
1783836131,139922611,29,1,1,0,0,0.75
1783836132,139923236,34,1,1,0,0,0.5
1783836133,139917232,29,0,1,0,0,0
1783836134,139924598,32,0,0,0,0,0.25
1783836135,139925502,28,0,0,0,0,1
1783836136,139927072,37,0,0,0,0,0.5
1783836137,139923847,28,0,1,0,0,0.25
1783836138,139924177,30,0,1,0,0,0.25
1783836139,139921545,35,0,0,0,0,1.24
1783836140,139976931,35,0,1,0,0,0.5
1783836141,139985225,28,1,1,0,0,0.75
1783836142,139922483,27,3,3,0,0,0.25
1783836143,139922500,28,0,0,0,0,0.5
1783836144,139922109,32,0,0,0,0,0.75
1783836145,139922330,21,1,0,0,0,0.5
1783836146,139951977,30,0,0,0,0,0.75
1783836147,139921070,31,0,0,0,0,0.5
1783836148,139919421,29,0,0,0,0,0.75
1783836149,139916310,29,0,0,0,0,0.25
1783836150,139922717,18,1,1,0,0,0.5
1783836151,139922755,34,1,1,0,0,1
1783836152,139919255,42,0,0,0,0,0.5
1783836153,139921793,41,0,0,0,0,1.24
1783836154,139922776,29,0,0,0,0,1
1783836155,139919796,34,1,1,0,0,0.75
1783836156,139919557,26,0,0,0,0,0.5
1783836157,139951040,23,0,0,0,0,0
1783836158,139932172,29,0,0,0,0,0.25
1783836159,139924007,31,1,1,0,0,0.5
1783836160,139923492,38,0,0,0,0,0.75
1783836161,139921550,30,2,2,0,0,0.5
1783836162,139951053,23,1,0,0,0,0.5
1783836163,139918501,32,0,0,0,0,1
1783836164,139985134,35,0,0,0,0,0.25
1783836165,139922508,52,3,3,0,0,1
1783836166,139948457,34,1,1,0,0,0.75
1783836167,139930980,27,0,1,0,0,1
1783836168,139926688,26,0,0,0,0,0.75
1783836169,139957452,42,1,1,0,0,0.75
1783836170,139931679,26,0,0,0,0,0.25
1783836171,139920148,31,0,0,0,0,0.75
1783836172,139924431,35,0,0,0,0,0.25
1783836173,139929252,18,1,1,0,0,0.75
1783836174,139921962,19,0,0,0,0,0.25
1783836175,139930301,23,1,1,0,0,0.75
